License Type Name,County Name,Premises Name,DBA,Address,City,State,Zip,Neighborhood
"GROCERY BEER, WINE PROD",NEW YORK,57 MARKET INC,,363 W 57TH STREET,NEW YORK,NY,10019,
"GROCERY BEER, WINE PROD",NEW YORK,ANGEL DELI OF YORKVILLE LTD,YORK DELI,1492 YORK AVENUE,NEW YORK,NY,10021,
"GROCERY CHAIN, WINE PROD",NEW YORK,D AGOSTINO SUPERMARKETS INC,D AGOSTINO,1507 YORK AVENUE,NEW YORK,NY,10021,
"GROCERY CHAIN, WINE PROD",NEW YORK,D AGOSTINO SUPERMARKETS INC,D AGOSTINO,1074 LEXINGTON AVE,NEW YORK,NY,10021,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 59,1446 2ND AVE,NEW YORK,NY,10021,
"GROCERY BEER, WINE PROD",NEW YORK,JAN SERVICES EAST INC,GOURMET GARAGE,301 E 64TH STREET,NEW YORK,NY,10021,
"GROCERY BEER, WINE PROD",NEW YORK,K & S GROCERY CORP,FOOD MART,1321 YORK AVENUE,NEW YORK,NY,10021,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 512,1208 1ST AVENUE,NEW YORK,NY,10021,
"GROCERY BEER, WINE PROD",NEW YORK,OLYMPOI CORP,EDDIES MARKET,1528 1ST AVENUE,NEW YORK,NY,10021,
"GROCERY CHAIN, WINE PROD",NEW YORK,NAMDOR INC,GRISTEDE'S # 413,1365 3RD AVENUE,NEW YORK,NY,10021,
"GROCERY BEER, WINE PROD",NEW YORK,SING AND SING DELI INC,,1211 1ST AVENUE,NEW YORK,NY,10021,
"GROCERY BEER, WINE PROD",NEW YORK,Z & S DELI INC,SUPER-DEL MARKET,1474 YORK AVE,NEW YORK,NY,10021,
"GROCERY BEER, WINE PROD",NEW YORK,BRONZE & WHITE MARKETS INC,MORTON WILLIAMS SUPERMARKET,400 W 59TH STREET,NEW YORK,NY,10022,
"GROCERY CHAIN, WINE PROD",NEW YORK,D AGOSTINO SUPERMARKETS INC,,966 1ST AVENUE & 53RD STREET,NEW YORK,NY,10022,
"GROCERY BEER, WINE PROD",NEW YORK,532 MADISON AVENUE GOURMET FOODS INC,SMILERS,532 MADISON AVENUE,NEW YORK,NY,10022,
"GROCERY BEER, WINE PROD",NEW YORK,C P YANG CORP,,281 COLUMBUS AVENUE,NEW YORK,NY,10023,
"GROCERY BEER, WINE PROD",NEW YORK,COLUMBUS FOODS INC,,289 COLUMBUS AVE,NEW YORK,NY,10023,
