Zip Code,Dog Name,Animal Gender
11215,ANNIE,F
11230,MAGY,F
10307,SKULLY,F
10011,HONEY,F
10305,THUNDER,M
10468,FORDSTER,M
10302,RANGER,M
11229,VESTA,F
10308,AMBER,F
11378,CHARLIE,F
10471,SPARKY,M
11365,BEE,F
10029,TINO,M
11379,DANE,M
10003,ZOE,F
10453,LUCKY,M
10024,EVA,F
10024,LILY,F
11102,ZENA,F
10458,TINY,M
11101,TRUFFLES,F
10025,CORDUROY,F
10023,CHECKERS,M
11365,BUSTER,M
11354,MUI,F
11356,GIGI,F
11102,HILLARY,F
10028,CLEOPATRA,F
11205,DIAMOND,F
10305,MILO,M
10306,KAINA,F
11414,HONEY,F
10458,ZOE,F
10469,BLONDI,M
11210,HONEYBEE,F
11417,MICKEY,M
11385,CINDY,F
11223,HOLLY,F
10019,REGGIE,M
10001,BUFFY,F
11217,TROTSKY,M
10024,RUFUS,M
10010,BRAK,M
11379,JR,M
11219,SAM,M
10471,RUSTY,M
10012,ROCKO,M
10309,DAPPER,M
11358,JOY,M
11231,NENA,F
10029,LILA,F
11358,LILLY,F
10003,TODD,M
11105,DAISY,F
10470,WYLIE,F
10470,KC,M
11234,MAXIE,F
11203,MARLEY,M
11365,LUNA,F
10461,KATO,M
11102,SISSY,F
10314,LACEY,F
10024,LUCY,F
10025,GEORGE,M
11230,MAXIE,M
10306,ARIEL,F
11235,BAMBI,M
11385,MOLLY,F
10471,CLOVER,M
10128,AUDREY,F
10003,STELLA,F
10455,BIGGIE,F
10024,CHESTER,M
10128,MOLLY,F
10306,TUNDRA,F
11105,KALU,M
11237,POPI,M
10014,SPENCER,M
11358,HAPPY,M
10471,VALENTINO,M
11379,TOBY,M
10128,DOUGALL,M
10038,NICO,M
10001,BONNIE,F
10024,COOKIE,F
11421,SATCHY,F
10021,MAGGIE,F
10314,COCOA,F
10023,PIPPIN,M
10002,KATO,M
10021,NAME NOT PROVIDED,M
11379,REX,M
11234,SHOORIK,M
10304,CHEYENNE,F
11357,ISIS,F
10013,PENNY,F
11217,WILLI,M
10034,BEN,M
10308,SCOOBY,M
11423,SALLY,F
10462,DINO,M
10010,BRUNO,M
10024,SEYMORE,M
11209,MORGAN,M
10471,OPUS,M
11103,GIZMO,M
11218,CHARLIE,M
10022,BUSTER,M
11229,COCO,F
10029,JAKE,M
11221,BLITZ,M
11209,SABRINA,F
10461,DUKE,M
